Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
1925|5700237|160|2|2025-11-13|2025-11-13 11:29:01|
1925|5700208|160|2|2025-11-13|2025-11-13 11:04:05|
1925|5001386|160|2|2025-11-13|2025-11-13 13:04:02|
1925|5700309|160|2|2025-11-28|2025-11-28 11:14:04|
1925|5700335|160|2|2025-11-21|2025-11-21 12:21:01|
3471|5600951|160|2|2025-11-27|2025-11-27 17:47:14|
1925|5700215|160|2|2025-11-12|2025-11-12 18:20:01|
1925|5700238|160|2|2025-11-13|2025-11-13 14:41:01|
3471|5600867|160|2|2025-11-14|2025-11-14 16:09:02|
1890|5110449|750|1|2025-10-01|2025-11-11 10:21:00|
3471|5600859|160|2|2025-11-14|2025-11-14 17:16:03|
3471|5600765|160|1|2025-11-17|2025-11-19 19:00:02|
1925|5700235|160|1|2025-11-11|2025-11-13 10:48:03|
3043|5603481|520|2|2025-11-20|2025-11-20 18:47:01|
1925|5700343|160|1|2025-11-17|2025-11-22 10:57:01|
3471|5600892|160|2|2025-11-21|2025-11-21 23:57:02|
1925|5700371|160|2|2025-11-21|2025-11-21 18:43:02|
3471|5600803|160|2|2025-11-19|2025-11-19 18:35:03|
1925|5700365|160|2|2025-11-21|2025-11-21 13:40:02|
1925|5700356|160|1|2025-11-17|2025-11-21 11:51:02|
3471|5600946|160|1|2025-11-25|2025-11-28 20:35:00|
1925|5700275|160|1|2025-11-17|2025-11-19 09:51:01|
1925|5700363|160|2|2025-11-21|2025-11-21 13:21:03|
3471|5600771|160|2|2025-11-19|2025-11-19 18:29:03|
1925|5700227|160|2|2025-11-13|2025-11-13 09:35:04|
3471|5600779|160|1|2025-11-17|2025-11-21 12:26:01|
3897|5611632|240|1|2025-11-13|2025-11-13 13:30:14|
3577|5102462|521|1|2025-11-24|2025-11-27 14:03:01|
3577|5102382|521|2|2025-11-19|2025-11-19 14:44:02|
3471|5600864|160|1|2025-11-11|2025-11-14 16:48:03|
3043|5603322|520|5|2025-10-27|2025-11-10 18:03:00|
1925|5700306|160|2|2025-11-28|2025-11-28 11:04:03|
1925|5700297|160|2|2025-11-27|2025-11-27 13:25:01|
3471|5600778|160|2|2025-11-21|2025-11-21 18:31:03|
3577|5102433|521|2|2025-11-20|2025-11-20 12:23:02|
3471|5600783|160|2|2025-11-19|2025-11-19 15:08:00|
3043|5003622|523|1|2025-11-21|2025-11-26 14:38:02|
3471|5000891|160|2|2025-11-21|2025-11-21 23:58:01|
3471|5600821|160|2|2025-11-20|2025-11-20 10:14:05|
1925|5700357|160|2|2025-11-21|2025-11-21 11:53:02|
3471|5600788|160|2|2025-11-20|2025-11-20 10:54:04|
3577|5102374|521|1|2025-11-10|2025-11-12 14:55:01|
1925|5001395|160|1|2025-11-11|2025-11-13 11:32:04|
1925|5700280|160|1|2025-11-17|2025-11-19 10:02:01|
1925|5700281|160|2|2025-11-19|2025-11-19 10:04:02|
3043|5603322|520|2|2025-11-10|2025-11-10 18:03:00|
1925|5700352|160|1|2025-11-17|2025-11-20 11:38:05|
3471|5600862|160|1|2025-11-11|2025-11-14 16:48:01|
1925|5700302|160|1|2025-11-25|2025-11-28 11:39:01|
1925|5700310|160|2|2025-11-28|2025-11-28 11:13:02|
3471|5600789|160|1|2025-11-17|2025-11-19 18:29:04|
1925|5700350|160|1|2025-11-17|2025-11-24 13:18:02|
1647|5006994|240|2|2025-11-14|2025-11-14 17:36:10|
3471|5600796|160|1|2025-11-11|2025-11-14 17:16:03|
1925|5001421|160|2|2025-11-19|2025-11-19 12:01:02|
1925|5100858|160|2|2025-11-19|2025-11-19 11:48:01|
1925|5700231|160|2|2025-11-13|2025-11-13 09:49:02|
1925|5700353|160|1|2025-11-17|2025-11-20 11:39:04|
1925|5700212|160|1|2025-11-11|2025-11-12 18:08:01|
3577|5102433|521|1|2025-11-19|2025-11-20 12:23:02|
1925|5700288|160|1|2025-11-25|2025-11-26 17:53:03|
1925|5700348|160|1|2025-11-17|2025-11-24 13:17:00|
1925|5100830|160|1|2025-11-11|2025-11-12 16:35:03|
1925|5100856|160|2|2025-11-19|2025-11-19 11:27:03|
1925|5700320|160|1|2025-11-25|2025-11-28 11:22:01|
1925|5700305|160|2|2025-11-28|2025-11-28 11:04:02|
1925|5700343|160|2|2025-11-22|2025-11-22 10:57:01|
3043|5603479|523|2|2025-11-21|2025-11-21 12:54:02|
1925|5700232|160|2|2025-11-13|2025-11-13 09:50:05|
1925|5100831|160|2|2025-11-12|2025-11-12 16:35:03|
1925|5001390|160|1|2025-11-11|2025-11-13 13:04:03|
3471|5000891|160|1|2025-11-17|2025-11-21 23:58:01|
1925|5700365|160|1|2025-11-17|2025-11-21 13:40:02|
3471|5600767|160|2|2025-11-21|2025-11-21 15:26:02|
1925|5700273|160|1|2025-11-17|2025-11-19 09:44:04|
3471|5600871|160|2|2025-11-27|2025-11-27 18:38:03|
1925|5700292|160|1|2025-11-25|2025-11-27 10:15:01|
