Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3471|6400146|160|ED|0436260N899Z5|1||2026-01-03 00:54:01|
3178|6000234|160|ED|01702618FL2Q8|1||2026-01-15 22:14:01|
1647|6004560|240|ED|0428260GVLXA6|1||2026-01-23 16:17:10|
1647|6004627|240|ED|0428260GW6EW5|1||2026-01-30 19:58:02|
3471|6400178|160|ED|0438261CC6SS3|1||2026-01-16 10:11:03|
1647|6004560|240|ED|0428260GUE9J5|1||2026-01-23 16:17:10|
1614|6000514|160|PP|20239540|1||2026-01-28 13:34:06|
3577|6300042|521|ED|0436260NBQSP5|1||2026-01-23 16:53:01|
1925|6000052|160|CR|241|1||2026-01-22 14:05:02|
1647|6004627|240|ED|0428260GW2MS6|1||2026-01-30 19:58:02|
3577|6300024|521|ED|0438261C3XAN4|1||2026-01-05 19:02:01|
3471|6400275|160|ED|0438261CIIN53|1||2026-01-28 13:23:02|
1925|6610024|160|ED|0436250MVK586|1||2026-01-22 11:29:02|
1925|6100105|160|ED|0428250E9O9N6|2||2026-01-22 18:57:02|
3471|6400381|160|CR|40|1||2026-01-30 09:49:05|
