Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|6400213|160|87089999|78|EN|X|NOM-050-SCFI-2004|2026-01-20 16:17:03|
3471|6400094|160|84213199|21|EN|X|NOM-050-SCFI-2004|2026-01-15 08:44:02|
3471|6400240|160|98020019|167|EC|1||2026-01-26 09:17:02|
1925|6100038|160|85269299|63|EN|U|NOM-001-SCFI-2018|2026-01-24 13:04:01|
3471|6400180|160|87082999|38|PS|XIX||2026-01-16 10:11:02|
1614|6000094|160|98020019|99|EC|1||2026-01-19 17:38:08|
3471|6400181|160|73269099|2|XP|T9|U|2026-01-16 10:11:03|
1925|6100038|160|98020019|80|EC|1||2026-01-24 13:04:01|
1925|6100030|160|87089999|1|EN|X|NOM-050-SCFI-2004|2026-01-24 12:09:04|
3471|6400240|160|85044099|35|PS|XIX||2026-01-26 09:17:02|
3178|6000847|160|83023091|74|PS|XIX||2026-01-24 12:17:03|
3178|6000847|160|98020019|110|EC|1||2026-01-24 12:17:03|
1925|6100030|160|87088099|30|EN|X|NOM-050-SCFI-2004|2026-01-24 12:09:04|
3577|6300109|521|98020019|7|EC|1||2026-01-27 11:03:01|
3471|6400240|160|39269020|7|PS|XIX||2026-01-26 09:17:02|
3471|6400174|160|98020019|145|EC|1||2026-01-16 10:44:03|
1614|6000092|160|98020019|70|EC|1||2026-01-19 17:38:06|
3178|6000230|160|87089412|72|EN|X|NOM-050-SCFI-2004|2026-01-16 08:31:01|
3471|6400247|160|87082999|15|PS|XIX||2026-01-26 11:44:04|
3471|6400240|160|98020019|108|EC|1||2026-01-26 09:17:02|
3471|6400095|160|73269099|5|XP|T9|U|2026-01-15 08:44:01|
3471|6400185|160|39269099|2|XP|A1|U|2026-01-20 18:24:04|
3471|6400178|160|83023091|29|PS|XIX||2026-01-16 10:11:03|
1925|6100034|160|87082999|52|PS|XIX||2026-01-24 12:24:04|
3471|6400241|160|73269099|5|XP|T9|U|2026-01-26 09:17:02|
1925|6100040|160|85443099|229|PS|XIX||2026-01-24 12:58:04|
1925|6100034|160|39269099|109|ES|N||2026-01-24 12:24:04|
3471|6400240|160|98020019|117|EC|1||2026-01-26 09:17:02|
1925|6100040|160|98020019|51|EC|1||2026-01-24 12:58:04|
1925|6100034|160|85365099|84|EN|U|NOM-024-SCFI-2013|2026-01-24 12:24:04|
3471|6400240|160|98020019|106|EC|1||2026-01-26 09:17:02|
3178|6000237|160|87082999|1|PS|XIX||2026-01-16 20:15:01|
1614|6000082|160|85122099|31|PS|XIX||2026-01-20 11:18:02|
3178|6000230|160|39235001|190|PS|XIX||2026-01-16 08:31:01|
1925|6100038|160|98020019|2|EC|1||2026-01-24 13:04:01|
3471|6400240|160|98020019|135|EC|1||2026-01-26 09:17:02|
3178|6000230|160|98020019|22|EC|1||2026-01-16 08:31:01|
1614|6000087|160|73269099|11|XP|T9|U|2026-01-19 17:37:01|
3471|6400094|160|39269099|9|XP|S3|U|2026-01-15 08:44:02|
3471|6400240|160|87089999|96|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3471|6400241|160|73269099|4|XP|T9|U|2026-01-26 09:17:02|
3471|6400240|160|98020019|118|EC|1||2026-01-26 09:17:02|
3178|6000972|160|87089412|47|EN|X|NOM-050-SCFI-2004|2026-01-24 12:02:13|
3471|6400240|160|98020019|104|EC|1||2026-01-26 09:17:02|
1925|6100040|160|87083099|205|EN|U|NOM-050-SCFI-2004|2026-01-24 12:58:04|
3577|6300120|521|87082999|57|PS|XIX||2026-01-26 14:38:00|
